PROGENY,FLOWERS_TO_POLLINATE_REQUIRED,PARENT1,P1L1FC,P1L1,P1L2FC,P1L2,P1L3FC,P1L3,P1L4FC,P1L4,PARENT2,P2L1FC,P2L1,P2L2FC,P2L2,P2L3FC,P2L3,P2L4FC,P2L4,RECIPROCAL_DONE,NEW_LABELS
2026-999,87,16-058.404,,,,,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-998,87,16-058.404,,,,,,,,,DSA25,,,,,,,,,FALSE,FALSE
2026-997,87,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,DSA25,,,,,,,,,FALSE,FALSE
2026-996,87,17-037.103,Terraza 2,B06,,,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-995,87,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-994,87,T075.103,,,,,,,,,DSA25,,,,,,,,,FALSE,FALSE
2026-993,87,16-058.403,,,,,,,,,18-250.402,,,,,,,,,FALSE,FALSE
2026-992,87,18-250.402,,,,,,,,,16-094.404,,,,,,,,,FALSE,FALSE
2026-991,87,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,16-094.404,,,,,,,,,FALSE,FALSE
2026-990,87,16-136.403,Terraza 2,B06,Terraza 2,B06,,,,,16-343.502,,,,,,,,,FALSE,FALSE
2026-989,457,20-374.401,,,,,,,,,18-183.101,,,,,,,,,FALSE,FALSE
2026-988,457,22-612.401,,,,,,,,,18-183.101,,,,,,,,,FALSE,FALSE
2026-987,457,19-060.101,,,,,,,,,18-183.101,,,,,,,,,FALSE,FALSE
2026-986,457,20-410.401,,,,,,,,,18-183.101,,,,,,,,,FALSE,FALSE
2026-985,457,21-437.403,,,,,,,,,19-060.101,,,,,,,,,FALSE,FALSE
2026-984,457,18-183.101,,,,,,,,,18-250.402,,,,,,,,,FALSE,FALSE
2026-983,457,18-183.101,,,,,,,,,16-091.403,,,,,,,,,FALSE,FALSE
2026-982,457,_45K308,,,,,,,,,20-374.401,,,,,,,,,FALSE,FALSE
2026-981,457,20-374.401,,,,,,,,,18-127.101,,,,,,,,,FALSE,FALSE
2026-980,457,20-408.402,,,,,,,,,21-437.403,,,,,,,,,FALSE,FALSE
2026-979,275,16-007.401,,,,,,,,,20-410.401,,,,,,,,,FALSE,FALSE
2026-978,275,20-194.102,,,,,,,,,16-007.401,,,,,,,,,FALSE,FALSE
2026-977,275,23M015.001,,,,,,,,,22-612.401,,,,,,,,,FALSE,FALSE
2026-976,275,23M045.001,,,,,,,,,20-384.402,,,,,,,,,FALSE,FALSE
2026-975,686,20-384.402,,,,,,,,,21-416.499,,,,,,,,,FALSE,FALSE
2026-974,457,21-029.401,,,,,,,,,22-615.404,,,,,,,,,FALSE,FALSE
2026-973,457,P192.104,,,,,,,,,17-016.102,,,,,,,,,FALSE,FALSE
2026-972,275,19-089.401,,,,,,,,,21-161.108,,,,,,,,,FALSE,FALSE
2026-971,457,18-262.401,,,,,,,,,19-081.105,,,,,,,,,FALSE,FALSE
2026-970,457,21-440.401,,,,,,,,,16-346.501,,,,,,,,,FALSE,FALSE
2026-969,457,18-234.401,,,,,,,,,21-440.401,,,,,,,,,FALSE,FALSE
2026-968,457,P192.104,,,,,,,,,18-137.402,,,,,,,,,FALSE,FALSE
2026-967,457,21-389.499,,,,,,,,,18-234.401,,,,,,,,,FALSE,FALSE
2026-966,457,22-630.405,,,,,,,,,22-612.401,,,,,,,,,FALSE,FALSE
2026-965,686,22-597.405,,,,,,,,,19-060.101,,,,,,,,,FALSE,FALSE
2026-964,275,23M024.001,,,,,,,,,18-183.101,,,,,,,,,FALSE,FALSE
2026-963,686,21-440.401,,,,,,,,,16-136.403,,,,,,,,,FALSE,FALSE
2026-962,457,22-623.401,,,,,,,,,16-136.403,,,,,,,,,FALSE,FALSE
2026-961,275,16-136.403,,,,,,,,,23M024.002,,,,,,,,,FALSE,FALSE
2026-960,686,20-384.402,,,,,,,,,16-091.403,,,,,,,,,FALSE,FALSE
2026-959,457,R075.103,,,,,,,,,21-440.401,,,,,,,,,FALSE,FALSE
2026-958,275,23M052.001,,,,,,,,,16-136.403,,,,,,,,,FALSE,FALSE
2026-957,457,21-161.110,,,,,,,,,18-127.101,,,,,,,,,FALSE,FALSE
2026-956,686,18-262.401,,,,,,,,,18-127.101,,,,,,,,,FALSE,FALSE
2026-955,686,19-009.401,,,,,,,,,20-410.401,,,,,,,,,FALSE,FALSE
2026-954,457,21-440.401,,,,,,,,,16-058.402,,,,,,,,,FALSE,FALSE
2026-953,686,18-205.103,,,,,,,,,16-112.401,,,,,,,,,FALSE,FALSE
2026-952,686,22-597.403,,,,,,,,,18-205.104,,,,,,,,,FALSE,FALSE
2026-951,457,146C  6,,,,,,,,,18-265.401,,,,,,,,,FALSE,FALSE
2026-950,686,18-205.103,,,,,,,,,18-168.104,,,,,,,,,FALSE,FALSE
2026-949,686,R068.101,,,,,,,,,146C  6,,,,,,,,,FALSE,FALSE
2026-948,686,17-040.102,,,,,,,,,18-270.403,,,,,,,,,FALSE,FALSE
2026-947,457,22-597.403,,,,,,,,,21-029.401,,,,,,,,,FALSE,FALSE
2026-946,686,21-431.401,,,,,,,,,18-197.102,,,,,,,,,FALSE,FALSE
2026-945,457,P192.104,,,,,,,,,20-384.402,,,,,,,,,FALSE,FALSE
2026-944,457,20-386.499,,,,,,,,,18-234.401,,,,,,,,,FALSE,FALSE
2026-943,275,20-384.402,,,,,,,,,16-007.401,,,,,,,,,FALSE,FALSE
2026-942,686,_45K308,,,,,,,,,20-386.499,,,,,,,,,FALSE,FALSE
2026-941,275,20-384.403,,,,,,,,,16-007.401,,,,,,,,,FALSE,FALSE
2026-940,457,20-384.402,,,,,,,,,19-009.401,,,,,,,,,FALSE,FALSE
2026-939,457,N262.101,,,,,,,,,20-384.402,,,,,,,,,FALSE,FALSE
2026-938,686,R075.103,,,,,,,,,20-384.402,,,,,,,,,FALSE,FALSE
2026-937,275,23M029.001,,,,,,,,,16-312.201,,,,,,,,,FALSE,FALSE
2026-936,457,19-005.402,,,,,,,,,18-234.401,,,,,,,,,FALSE,FALSE
2026-935,275,23M015.002,,,,,,,,,16-007.401,,,,,,,,,FALSE,FALSE
2026-934,275,23M047.001,,,,,,,,,23M015.003,,,,,,,,,FALSE,FALSE
2026-933,275,23M016.001,,,,,,,,,23M015.004,,,,,,,,,FALSE,FALSE
2026-932,457,18-252.401,,,,,,,,,19-163.403,,,,,,,,,FALSE,FALSE
2026-931,275,23M051.005,,,,,,,,,20-384.402,,,,,,,,,FALSE,FALSE
2026-930,686,16-312.201,,,,,,,,,19-009.401,,,,,,,,,FALSE,FALSE
2026-929,457,20-384.402,,,,,,,,,16-137.403,,,,,,,,,FALSE,FALSE
2026-928,686,19-005.401,,,,,,,,,16-312.201,,,,,,,,,FALSE,FALSE
2026-927,686,R068.104,,,,,,,,,22-630.402,,,,,,,,,FALSE,FALSE
2026-926,686,20-414.401,,,,,,,,,18-131.402,,,,,,,,,FALSE,FALSE
2026-925,457,20-409.499,,,,,,,,,18-131.402,,,,,,,,,FALSE,FALSE
2026-924,686,19-005.401,,,,,,,,,18-131.402,,,,,,,,,FALSE,FALSE
2026-923,457,19-163.401,,,,,,,,,16-091.403,,,,,,,,,FALSE,FALSE
2026-922,457,20-414.401,,,,,,,,,19-009.401,,,,,,,,,FALSE,FALSE
2026-921,457,20-412.402,,,,,,,,,16-136.402,,,,,,,,,FALSE,FALSE
2026-920,457,20-414.401,,,,,,,,,16-136.403,,,,,,,,,FALSE,FALSE
2026-919,457,20-409.499,,,,,,,,,16-063.402,,,,,,,,,FALSE,FALSE
2026-918,686,22-626.402,,,,,,,,,18-131.405,,,,,,,,,FALSE,FALSE
2026-917,275,21-039.403,,,,,,,,,19-005.402,,,,,,,,,FALSE,FALSE
2026-916,457,18-281.401,,,,,,,,,19-163.401,,,,,,,,,FALSE,FALSE
2026-915,457,19-009.401,,,,,,,,,21-440.401,,,,,,,,,FALSE,FALSE
2026-914,457,19-005.402,,,,,,,,,21-440.401,,,,,,,,,FALSE,FALSE
2026-913,275,18-131.404,,,,,,,,,21-161.104,,,,,,,,,FALSE,FALSE
2026-912,275,21-162.101,,,,,,,,,18-131.404,,,,,,,,,FALSE,FALSE
2026-911,686,17-016.102,,,,,,,,,18-250.402,,,,,,,,,FALSE,FALSE
2026-910,914,18-262.401,,,,,,,,,R075.103,,,,,,,,,FALSE,FALSE
2026-909,686,17-040.102,,,,,,,,,16-312.201,,,,,,,,,FALSE,FALSE
2026-908,1371,18-126.401,,,,,,,,,16-058.402,,,,,,,,,FALSE,FALSE
2026-907,1371,18-129.401,,,,,,,,,N262.101,,,,,,,,,FALSE,FALSE
2026-906,686,18-234.401,,,,,,,,,16-058.404,,,,,,,,,FALSE,FALSE
2026-905,686,16-058.404,,,,,,,,,16-136.402,,,,,,,,,FALSE,FALSE
2026-904,686,18-250.402,,,,,,,,,18-129.401,,,,,,,,,FALSE,FALSE
2026-903,457,R075.103,,,,,,,,,18-137.402,,,,,,,,,FALSE,FALSE
2026-902,686,18-137.402,,,,,,,,,19-009.401,,,,,,,,,FALSE,FALSE
2026-901,686,19-005.401,,,,,,,,,18-137.402,,,,,,,,,FALSE,FALSE
2026-900,457,18-137.401,,,,,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-899,457,18-265.401,,,,,,,,,18-137.401,,,,,,,,,FALSE,FALSE
2026-898,914,R008.102,,,,,,,,,R068.101,,,,,,,,,FALSE,FALSE
2026-897,1143,19-005.401,,,,,,,,,R008.102,,,,,,,,,FALSE,FALSE
2026-896,686,18-183.101,,,,,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-895,275,18-132.401,,,,,,,,,21-128.102,,,,,,,,,FALSE,FALSE
2026-894,457,18-183.101,,,,,,,,,16-136.403,,,,,,,,,FALSE,FALSE
2026-893,457,R008.103,,,,,,,,,16-058.402,,,,,,,,,FALSE,FALSE
2026-892,457,16-058.404,,,,,,,,,R008.103,,,,,,,,,FALSE,FALSE
2026-891,457,R008.103,,,,,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-890,457,22-612.401,,,,,,,,,18-129.401,,,,,,,,,FALSE,FALSE
2026-889,686,22-615.404,,,,,,,,,17-243.404,,,,,,,,,FALSE,FALSE
2026-888,275,17-243.404,,,,,,,,,18-131.403,,,,,,,,,FALSE,FALSE
2026-887,686,17-134.401,,,,,,,,,22-632.402,,,,,,,,,FALSE,FALSE
2026-886,686,20-410.401,,,,,,,,,18-234.401,,,,,,,,,FALSE,FALSE
2026-885,457,18-234.401,,,,,,,,,22-591.402,,,,,,,,,FALSE,FALSE
2026-884,457,18-265.403,,,,,,,,,17-134.401,,,,,,,,,FALSE,FALSE
2026-883,686,18-265.404,,,,,,,,,21-405.402,,,,,,,,,FALSE,FALSE
2026-882,3199,22-599.401,,,,,,,,,18-255.403,,,,,,,,,FALSE,FALSE
2026-881,1143,18-255.403,,,,,,,,,18-262.401,,,,,,,,,FALSE,FALSE
2026-880,686,16-072.403,,,,,,,,,17-016.102,,,,,,,,,FALSE,FALSE
2026-879,457,18-138.102,,,,,,,,,16-072.403,,,,,,,,,FALSE,FALSE
2026-878,275,S010.101,,,,,,,,,19-276.402,,,,,,,,,FALSE,FALSE
2026-877,275,S010.101,,,,,,,,,19-281.401,,,,,,,,,FALSE,FALSE
2026-876,686,19-281.401,,,,,,,,,18-265.404,,,,,,,,,FALSE,FALSE
2026-875,686,18-250.402,,,,,,,,,19-281.401,,,,,,,,,FALSE,FALSE
2026-874,457,17-016.102,,,,,,,,,20-366.401,,,,,,,,,FALSE,FALSE
2026-873,457,16-346.501,,,,,,,,,18-138.102,,,,,,,,,FALSE,FALSE
2026-872,457,20-366.401,,,,,,,,,19-281.401,,,,,,,,,FALSE,FALSE
2026-871,457,22-610.401,,,,,,,,,16-312.201,,,,,,,,,FALSE,FALSE
2026-870,1600,22-615.409,,,,,,,,,_45K308,,,,,,,,,FALSE,FALSE
2026-869,457,19-171.401,,,,,,,,,16-346.501,,,,,,,,,FALSE,FALSE
2026-868,457,16-058.404,,,,,,,,,16-346.501,,,,,,,,,FALSE,FALSE
2026-867,457,18-282.403,,,,,,,,,22-626.401,,,,,,,,,FALSE,FALSE
2026-866,457,22-597.402,,,,,,,,,18-282.403,,,,,,,,,FALSE,FALSE
2026-865,457,18-120.401,,,,,,,,,19-281.401,,,,,,,,,FALSE,FALSE
2026-864,457,20-366.401,,,,,,,,,18-120.401,,,,,,,,,FALSE,FALSE
2026-863,686,16-137.403,,,,,,,,,18-265.401,,,,,,,,,FALSE,FALSE
2026-862,457,18-126.401,,,,,,,,,16-137.403,,,,,,,,,FALSE,FALSE
2026-861,686,20-366.401,,,,,,,,,18-126.401,,,,,,,,,FALSE,FALSE
2026-860,1143,18-004.402,,,,,,,,,19-140.402,,,,,,,,,FALSE,FALSE
2026-859,686,20-360.401,,,,,,,,,18-004.402,,,,,,,,,FALSE,FALSE
2026-858,275,16-007.401,,,,,,,,,20-428.401,,,,,,,,,FALSE,FALSE
2026-857,686,20-428.401,,,,,,,,,18-126.402,,,,,,,,,FALSE,FALSE
2026-856,686,18-126.402,,,,,,,,,20-408.405,,,,,,,,,FALSE,FALSE
2026-855,686,20-398.498,,,,,,,,,17-142.401,,,,,,,,,FALSE,FALSE
2026-854,275,17-142.401,,,,,,,,,23M013.001,,,,,,,,,FALSE,FALSE
2026-853,275,23M013.001,,,,,,,,,16-058.402,,,,,,,,,FALSE,FALSE
2026-852,686,16-063.402,,,,,,,,,R068.101,,,,,,,,,FALSE,FALSE
2026-851,1143,22-591.401,,,,,,,,,16-063.402,,,,,,,,,FALSE,FALSE
2026-850,457,16-063.402,,,,,,,,,20-366.401,,,,,,,,,FALSE,FALSE
2026-849,21,17-176.401,,,,,,,,,20-428.401,#N/A,,,,,,,,FALSE,FALSE
2026-848,19,22K434.004,24A,,,,,,,,16-058.404,09B - 10B,,,,,,,,FALSE,FALSE
2026-847,19,22K434.012,24A,,,,,,,,17-037.103,12A,,,,,,,,FALSE,FALSE
2026-846,19,22K434.035,24A,,,,,,,,18-183.101,11A,,,,,,,,FALSE,FALSE
2026-845,19,22K434.051,24A,,,,,,,,18-262.401,20B,,,,,,,,FALSE,FALSE
2026-844,14,17-037.103,12A,,,,,,,,23-277.501,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-843,14,18-183.101,11A,,,,,,,,23-399.504,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-842,14,17-435.901,03A,,,,,,,,23-474.502,18B,,,,,,,,FALSE,FALSE
2026-841,14,18-262.401,20B,,,,,,,,23-484.501,20A,,,,,,,,FALSE,FALSE
2026-840,14,18-234.401,20B,,,,,,,,23-486.502,20B,,,,,,,,FALSE,FALSE
2026-839,14,S256.901,08B,,,,,,,,23-503.501,18B,,,,,,,,FALSE,FALSE
2026-838,14,S216.901,08B,,,,,,,,23-504.503,18A,,,,,,,,FALSE,FALSE
2026-837,14,N169.901,07A,,,,,,,,23-509.501,18A,,,,,,,,FALSE,FALSE
2026-836,17,Pink Popcorn,07B,,,,,,,,NJ-701,20A - 24B,,,,,,,,FALSE,FALSE
2026-835,17,20-035.904,pollen P2 - pollen P2,,,,,,,,NJ-701,20A - 24B,,,,,,,,FALSE,FALSE
2026-834,17,20-036.904,pollen P2 - pollen P2,,,,,,,,NJ-701,20A - 24B,,,,,,,,FALSE,FALSE
2026-833,19,16-178.101,10B - 12A,,,,,,,,VAC-0892,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-832,19,DSA25,24A,,,,,,,,VAC-0892,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-831,19,18-265.404,20B - 22A,,,,,,,,VAC-0892,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-830,19,16-178.101,10B - 12A,,,,,,,,VAC-0894,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-829,19,18-262.401,20B,,,,,,,,VAC-0894,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-828,19,18-265.404,20B - 22A,,,,,,,,VAC-0894,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-827,19,16-178.101,10B - 12A,,,,,,,,VAC-0893,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-826,19,16-058.404,09B - 10B,,,,,,,,VAC-0893,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-825,19,16-007.401,20A,,,,,,,,VAC-0893,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-824,13,Pink Popcorn,07B,,,,,,,,24K830.005,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-823,13,22-93.5002,,,,,,,,,24K830.005,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-822,13,22-93.5008,,,,,,,,,24K830.015,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-821,13,20-035.904,pollen P2 - pollen P2,,,,,,,,24K830.020,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-820,13,16-178.101,10B - 12A,,,,,,,,22K652.002,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-819,13,20-035.904,pollen P2 - pollen P2,,,,,,,,22K652.002,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-818,13,20-036.904,pollen P2 - pollen P2,,,,,,,,24K830.020,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-817,13,20-035.904,pollen P2 - pollen P2,,,,,,,,24K830.015,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-816,13,20-035.904,pollen P2 - pollen P2,,,,,,,,22-93.5002,,,,,,,,,FALSE,FALSE
2026-815,13,20-036.904,pollen P2 - pollen P2,,,,,,,,22-93.5003,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-814,13,16-178.101,10B - 12A,,,,,,,,22-93.5004,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-813,13,S216.901,08B,,,,,,,,22-93.5008,,,,,,,,,FALSE,FALSE
2026-812,13,17-435.901,03A,,,,,,,,22-93.5010,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-811,13,18-262.401,20B,,,,,,,,22-93.5012,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-810,13,18-234.401,20B,,,,,,,,22-93.5013,pollen P2 - pollen P2,,,,,,,,FALSE,FALSE
2026-809,13,Pink Popcorn,07B,,,,,,,,18-386.901,06A,,,,,,,,FALSE,FALSE
2026-808,13,ARS 96-138,07A,,,,,,,,16-178.101,10B - 12A,,,,,,,,FALSE,FALSE
2026-807,17,ARS 96-138,07A,,,,,,,,18-120.401,18A,,,,,,,,FALSE,FALSE
2026-806,13,Pink Popcorn,07B,,,,,,,,16-058.404,09B - 10B,,,,,,,,FALSE,FALSE
2026-805,17,19-281.401,22B,,,,,,,,22-93.5002,,,,,,,,,FALSE,FALSE
2026-804,17,19-281.401,22B,,,,,,,,22-93.5008,,,,,,,,,FALSE,FALSE
2026-803,35,18-131.402,18B,,,,,,,,17-243.401,18A,,,,,,,,FALSE,FALSE
2026-802,10,18-131.402,18B,,,,,,,,22-370.102,21B,,,,,,,,FALSE,FALSE
2026-801,24,19-251.401,22A,,,,,,,,18-131.402,18B,,,,,,,,FALSE,FALSE
2026-800,35,18-132.401,18B,,,,,,,,16-178.101,10B - 12A,,,,,,,,FALSE,FALSE
2026-799,24,18-132.401,18B,,,,,,,,16-058.403,09B,,,,,,,,FALSE,FALSE
2026-798,24,S306.110,14B,,,,,,,,19-251.401,22A,,,,,,,,FALSE,FALSE
2026-797,47,18-169.101,20B,,,,,,,,16-058.403,09B,,,,,,,,FALSE,FALSE
2026-796,10,16-058.403,09B,,,,,,,,22-325.103,23A,,,,,,,,FALSE,FALSE
2026-795,24,18-168.104,11A,,,,,,,,16-058.403,09B,,,,,,,,FALSE,FALSE
2026-794,10,16-058.403,09B,,,,,,,,22-378.101,21B,,,,,,,,FALSE,FALSE
2026-793,24,R061.104,16A,,,,,,,,16-058.403,09B,,,,,,,,FALSE,FALSE
2026-792,35,19-274.401,22A,,,,,,,,16-058.403,09B,,,,,,,,FALSE,FALSE
2026-791,47,18-004.402,18A,,,,,,,,16-058.403,09B,,,,,,,,FALSE,FALSE
2026-790,47,18-248.401,11B,,,,,,,,16-058.403,09B,,,,,,,,FALSE,FALSE
2026-789,10,16-094.404,20A,,,,,,,,22-378.101,21B,,,,,,,,FALSE,FALSE
2026-788,35,S306.110,14B,,,,,,,,16-136.403,10B,,,,,,,,FALSE,FALSE
2026-787,10,16-058.403,09B,,,,,,,,22-328.104,23A,,,,,,,,FALSE,FALSE
2026-786,10,18-233.401,20B,,,,,,,,22-378.101,21B,,,,,,,,FALSE,FALSE
2026-785,35,S305.114,16B,,,,,,,,S010.104,16B,,,,,,,,FALSE,FALSE
2026-784,47,S305.116,16B,,,,,,,,S010.104,16B,,,,,,,,FALSE,FALSE
2026-783,35,S305.112,16B,,,,,,,,S010.104,16B,,,,,,,,FALSE,FALSE
2026-782,24,19-274.401,22A,,,,,,,,18-169.101,20B,,,,,,,,FALSE,FALSE
2026-781,35,16-112.401,10B,,,,,,,,16-058.403,09B,,,,,,,,FALSE,FALSE
2026-780,10,N332.106,14A,,,,,,,,22-378.101,21B,,,,,,,,FALSE,FALSE
2026-779,24,P192.104,24A,,,,,,,,18-169.101,20B,,,,,,,,FALSE,FALSE
2026-778,24,P224.102,16A - 16B,,,,,,,,16-058.403,09B,,,,,,,,FALSE,FALSE
2026-777,47,S306.110,14B,,,,,,,,196H  3,22B,,,,,,,,FALSE,FALSE
2026-776,10,Q057.102,16A,,,,,,,,22-378.101,21B,,,,,,,,FALSE,FALSE
2026-775,10,18-168.103,20A,,,,,,,,22-378.101,21B,,,,,,,,FALSE,FALSE
2026-774,10,18-148.101,11A,,,,,,,,22-378.101,21B,,,,,,,,FALSE,FALSE
2026-773,35,16-058.403,09B,,,,,,,,21-162.103,12B,,,,,,,,FALSE,FALSE
2026-772,35,P096.001,14A,,,,,,,,16-058.403,09B,,,,,,,,FALSE,FALSE
2026-771,10,22-358.104,23B,,,,,,,,22-315.102,21A - 21B,,,,,,,,TRUE,TRUE
2026-770,47,Q087.101,16A,,,,,,,,17-052.104,12A,,,,,,,,FALSE,FALSE
2026-769,47,18-168.103,20A,,,,,,,,18-004.402,18A,,,,,,,,FALSE,FALSE
