PROGENY,FLOWERS_TO_POLLINATE_REQUIRED,PARENT1,P1L1FC,P1L1,P1L2FC,P1L2,P1L3FC,P1L3,P1L4FC,P1L4,PARENT2,P2L1FC,P2L1,P2L2FC,P2L2,P2L3FC,P2L3,P2L4FC,P2L4,RECIPROCAL_DONE,NEW_LABELS
2026-674,10,18-131.402,18B,,,,,,,,22-325.103,23A,,,,,,,,FALSE,FALSE
2026-673,24,N014.001,14A,,,,,,,,16-007.401,20A,,,,,,,,FALSE,FALSE
2026-672,24,18-148.101,11A,,,,,,,,_45K308,10A,,,,,,,,FALSE,FALSE
2026-671,24,18-274.401,22A,,,,,,,,18-120.401,18A,,,,,,,,FALSE,FALSE
2026-670,24,18-274.401,22A,,,,,,,,18-131.402,18B,,,,,,,,FALSE,FALSE
2026-669,47,N054.002,14A,,,,,,,,18-120.401,18A,,,,,,,,FALSE,FALSE
2026-668,35,18-274.401,22A,,,,,,,,17-243.401,18A,,,,,,,,FALSE,FALSE
2026-667,10,18-120.401,18A,,,,,,,,22-335.102,23B,,,,,,,,FALSE,FALSE
2026-666,10,18-120.401,18A,,,,,,,,22-335.101,23B,,,,,,,,FALSE,FALSE
2026-664,10,22-378.101,21B,,,,,,,,21-161.103,11B - 12B,,,,,,,,FALSE,FALSE
2026-663,10,22-308.103,15A - 15B,,,,,,,,21-063.102,11B,,,,,,,,FALSE,FALSE
2026-662,10,20-114.105,11B,,,,,,,,22-370.102,21B,,,,,,,,FALSE,FALSE
2026-661,10,20-202.101,11B,,,,,,,,22-370.102,21B,,,,,,,,FALSE,FALSE
2026-660,10,22-370.102,21B,,,,,,,,22-326.102,23A,,,,,,,,FALSE,FALSE
2026-659,10,22-325.103,23A,,,,,,,,22-298.101,21A,,,,,,,,FALSE,FALSE
2026-658,10,22-326.102,23A,,,,,,,,22-273.104,21B,,,,,,,,FALSE,FALSE
2026-657,10,22-326.102,23A,,,,,,,,22-309.104,17A - 17B,,,,,,,,FALSE,FALSE
2026-656,10,22-351.101,23B,,,,,,,,22-298.101,21A,,,,,,,,FALSE,FALSE
2026-655,10,22-370.102,21B,,,,,,,,22-325.103,23A,,,,,,,,FALSE,FALSE
2026-654,10,20-114.105,11B,,,,,,,,22-284.102,21A,,,,,,,,FALSE,FALSE
2026-653,10,22-325.103,23A,,,,,,,,22-273.104,21B,,,,,,,,FALSE,FALSE
2026-652,10,20-196.101,11B,,,,,,,,22-370.102,21B,,,,,,,,FALSE,FALSE
2026-651,10,21-161.103,11B - 12B,,,,,,,,22-325.103,23A,,,,,,,,FALSE,FALSE
2026-650,10,20-106.104,11B,,,,,,,,22-325.103,23A,,,,,,,,FALSE,FALSE
2026-649,10,22-370.102,21B,,,,,,,,22-298.101,21A,,,,,,,,FALSE,FALSE
